metro,date,home_value
"Atlanta, GA",2015-01-31,171011.57815233822
"Atlanta, GA",2015-02-28,171907.09071205152
"Atlanta, GA",2015-03-31,172841.56772615877
"Atlanta, GA",2015-04-30,173884.51119123283
"Atlanta, GA",2015-05-31,175034.3063792043
"Atlanta, GA",2015-06-30,176150.04913169143
"Atlanta, GA",2015-07-31,177380.31714476045
"Atlanta, GA",2015-08-31,178612.61100102018
"Atlanta, GA",2015-09-30,179932.60086428226
"Atlanta, GA",2015-10-31,181194.45373105505
"Atlanta, GA",2015-11-30,182426.58763246995
"Atlanta, GA",2015-12-31,183732.30745889293
"Atlanta, GA",2016-01-31,185213.10779063348
"Atlanta, GA",2016-02-29,186701.90288060796
"Atlanta, GA",2016-03-31,187898.39090853152
"Atlanta, GA",2016-04-30,189121.55707699995
"Atlanta, GA",2016-05-31,190266.78739468896
"Atlanta, GA",2016-06-30,191399.8106223516
"Atlanta, GA",2016-07-31,192105.56772177128
"Atlanta, GA",2016-08-31,192667.2594841709
"Atlanta, GA",2016-09-30,193436.6847982876
"Atlanta, GA",2016-10-31,194580.57178351367
"Atlanta, GA",2016-11-30,196030.95146051832
"Atlanta, GA",2016-12-31,197650.47758995215
"Atlanta, GA",2017-01-31,199146.60785081345
"Atlanta, GA",2017-02-28,200648.29052803697
"Atlanta, GA",2017-03-31,202110.3698099831
"Atlanta, GA",2017-04-30,203598.57430807324
"Atlanta, GA",2017-05-31,204886.0004254568
"Atlanta, GA",2017-06-30,205997.89486918657
"Atlanta, GA",2017-07-31,207115.05248237832
"Atlanta, GA",2017-08-31,208245.79560925657
"Atlanta, GA",2017-09-30,209459.657130089
"Atlanta, GA",2017-10-31,210763.0306002991
"Atlanta, GA",2017-11-30,212362.33292268487
"Atlanta, GA",2017-12-31,214322.42603012675
"Atlanta, GA",2018-01-31,216365.78245077629
"Atlanta, GA",2018-02-28,218318.65024746352
"Atlanta, GA",2018-03-31,220179.26750998493
"Atlanta, GA",2018-04-30,221743.7756421546
"Atlanta, GA",2018-05-31,223227.48814652723
"Atlanta, GA",2018-06-30,224340.38550023013
"Atlanta, GA",2018-07-31,225797.38236829385
"Atlanta, GA",2018-08-31,227231.6653227758
"Atlanta, GA",2018-09-30,228881.53603488347
"Atlanta, GA",2018-10-31,230316.2175693882
"Atlanta, GA",2018-11-30,231840.88461273653
"Atlanta, GA",2018-12-31,233448.79315703543
"Atlanta, GA",2019-01-31,235074.2461775731
"Atlanta, GA",2019-02-28,236573.1113748287
"Atlanta, GA",2019-03-31,237837.57710036627
"Atlanta, GA",2019-04-30,238837.01820147608
"Atlanta, GA",2019-05-31,239619.14880764656
"Atlanta, GA",2019-06-30,240206.9253861485
"Atlanta, GA",2019-07-31,240792.99555726364
"Atlanta, GA",2019-08-31,241466.81842592196
"Atlanta, GA",2019-09-30,242168.466429988
"Atlanta, GA",2019-10-31,243077.21011693345
"Atlanta, GA",2019-11-30,244305.0327811092
"Atlanta, GA",2019-12-31,245906.4973751331
"Atlanta, GA",2020-01-31,247779.15916210468
"Atlanta, GA",2020-02-29,249615.87679466084
"Atlanta, GA",2020-03-31,251266.36948317743
"Atlanta, GA",2020-04-30,252414.55304382183
"Atlanta, GA",2020-05-31,252803.79642152504
"Atlanta, GA",2020-06-30,253002.5229515848
"Atlanta, GA",2020-07-31,253645.98498918212
"Atlanta, GA",2020-08-31,255389.32094242735
"Atlanta, GA",2020-09-30,258222.59946760265
"Atlanta, GA",2020-10-31,261839.45175105697
"Atlanta, GA",2020-11-30,266003.71641604236
"Atlanta, GA",2020-12-31,270241.8810826301
"Atlanta, GA",2021-01-31,274565.770874691
"Atlanta, GA",2021-02-28,279139.6163295453
"Atlanta, GA",2021-03-31,284010.6615979614
"Atlanta, GA",2021-04-30,289066.71453780174
"Atlanta, GA",2021-05-31,294536.4803607532
"Atlanta, GA",2021-06-30,300409.93499360915
"Atlanta, GA",2021-07-31,305878.9196323401
"Atlanta, GA",2021-08-31,310392.3745840183
"Atlanta, GA",2021-09-30,314232.05776092137
"Atlanta, GA",2021-10-31,318646.84286840615
"Atlanta, GA",2021-11-30,324013.3815555678
"Atlanta, GA",2021-12-31,330061.7591753568
"Atlanta, GA",2022-01-31,337446.809905415
"Atlanta, GA",2022-02-28,345434.62398104277
"Atlanta, GA",2022-03-31,353956.0380300719
"Atlanta, GA",2022-04-30,361862.0908017642
"Atlanta, GA",2022-05-31,368813.67564977607
"Atlanta, GA",2022-06-30,374464.33318335423
"Atlanta, GA",2022-07-31,377600.67137776734
"Atlanta, GA",2022-08-31,378382.2944721272
"Atlanta, GA",2022-09-30,377321.7550072712
"Atlanta, GA",2022-10-31,375983.6982680503
"Atlanta, GA",2022-11-30,374576.4508890275
"Atlanta, GA",2022-12-31,373001.1325007595
"Atlanta, GA",2023-01-31,371279.4889230149
"Atlanta, GA",2023-02-28,369991.1889164099
"Atlanta, GA",2023-03-31,369660.7862560181
"Atlanta, GA",2023-04-30,370068.8073956257
"Atlanta, GA",2023-05-31,371347.4483625859
"Atlanta, GA",2023-06-30,373089.786838271
"Atlanta, GA",2023-07-31,375070.8749437602
"Atlanta, GA",2023-08-31,376961.3759655648
"Atlanta, GA",2023-09-30,378581.55040019535
"Atlanta, GA",2023-10-31,379861.5881729091
"Atlanta, GA",2023-11-30,380819.58192887326
"Atlanta, GA",2023-12-31,381501.7644181996
"Atlanta, GA",2024-01-31,382055.6083936105
"Atlanta, GA",2024-02-29,382994.0928868777
"Atlanta, GA",2024-03-31,384542.5757548564
"Atlanta, GA",2024-04-30,386333.32623257424
"Atlanta, GA",2024-05-31,387488.1936855533
"Atlanta, GA",2024-06-30,387713.5944340518
"Atlanta, GA",2024-07-31,387508.25001792616
"Atlanta, GA",2024-08-31,387363.7026501515
"Atlanta, GA",2024-09-30,387190.1575987842
"Atlanta, GA",2024-10-31,386726.15224291425
"Atlanta, GA",2024-11-30,385889.95923171635
"Atlanta, GA",2024-12-31,385028.366967605
"Austin, TX",2015-01-31,247314.95876939397
"Austin, TX",2015-02-28,249809.92488462917
"Austin, TX",2015-03-31,252323.4797477021
"Austin, TX",2015-04-30,254326.77123603303
"Austin, TX",2015-05-31,256118.18409599827
"Austin, TX",2015-06-30,257755.6745552871
"Austin, TX",2015-07-31,259509.68210171096
"Austin, TX",2015-08-31,261231.962770414
"Austin, TX",2015-09-30,262936.6494298422
"Austin, TX",2015-10-31,264565.9060769473
"Austin, TX",2015-11-30,266287.4275959741
"Austin, TX",2015-12-31,268008.3852550542
"Austin, TX",2016-01-31,270032.31906553824
"Austin, TX",2016-02-29,272011.849208143
"Austin, TX",2016-03-31,273657.9671789734
"Austin, TX",2016-04-30,275103.44679446315
"Austin, TX",2016-05-31,276502.84049346164
"Austin, TX",2016-06-30,278076.0287154241
"Austin, TX",2016-07-31,279343.48049991735
"Austin, TX",2016-08-31,280169.7575747857
"Austin, TX",2016-09-30,280786.7181023488
"Austin, TX",2016-10-31,281640.7821596408
"Austin, TX",2016-11-30,283011.1997352005
"Austin, TX",2016-12-31,284759.5352944907
"Austin, TX",2017-01-31,286515.26364605356
"Austin, TX",2017-02-28,288076.064618478
"Austin, TX",2017-03-31,289436.0260474013
"Austin, TX",2017-04-30,290761.6555244836
"Austin, TX",2017-05-31,291595.4434322824
"Austin, TX",2017-06-30,292086.4870139609
"Austin, TX",2017-07-31,292281.7600326351
"Austin, TX",2017-08-31,292702.2585307087
"Austin, TX",2017-09-30,293329.7486886543
"Austin, TX",2017-10-31,294181.50610208476
"Austin, TX",2017-11-30,295143.26804955
"Austin, TX",2017-12-31,296323.5055348684
"Austin, TX",2018-01-31,297374.75278003333
"Austin, TX",2018-02-28,298282.11979811336
"Austin, TX",2018-03-31,299280.9175399091
"Austin, TX",2018-04-30,300081.23919243825
"Austin, TX",2018-05-31,300922.2867092651
"Austin, TX",2018-06-30,301523.21955581015
"Austin, TX",2018-07-31,302427.5542819246
"Austin, TX",2018-08-31,303213.35213276156
"Austin, TX",2018-09-30,303944.66688059695
