metro,date,rent
"Atlanta, GA",2015-01-31,985.1268044879572
"Atlanta, GA",2015-02-28,989.3505172481928
"Atlanta, GA",2015-03-31,991.8082641626908
"Atlanta, GA",2015-04-30,997.5596967019386
"Atlanta, GA",2015-05-31,1001.502197844531
"Atlanta, GA",2015-06-30,1008.2231658797112
"Atlanta, GA",2015-07-31,1012.0621408492608
"Atlanta, GA",2015-08-31,1016.7764305328038
"Atlanta, GA",2015-09-30,1021.554739454196
"Atlanta, GA",2015-10-31,1026.7775892602322
"Atlanta, GA",2015-11-30,1030.8491503260432
"Atlanta, GA",2015-12-31,1035.9632071802878
"Atlanta, GA",2016-01-31,1040.8226685163445
"Atlanta, GA",2016-02-29,1046.5352392409702
"Atlanta, GA",2016-03-31,1051.3830359584265
"Atlanta, GA",2016-04-30,1054.5033667765097
"Atlanta, GA",2016-05-31,1058.66714639498
"Atlanta, GA",2016-06-30,1063.0009559861785
"Atlanta, GA",2016-07-31,1069.4815224746935
"Atlanta, GA",2016-08-31,1075.370894042562
"Atlanta, GA",2016-09-30,1080.34508540192
"Atlanta, GA",2016-10-31,1085.82034315157
"Atlanta, GA",2016-11-30,1090.1823373875463
"Atlanta, GA",2016-12-31,1094.6373614541908
"Atlanta, GA",2017-01-31,1099.494886776644
"Atlanta, GA",2017-02-28,1105.7892615939766
"Atlanta, GA",2017-03-31,1113.428251007878
"Atlanta, GA",2017-04-30,1120.340482814125
"Atlanta, GA",2017-05-31,1127.438129362715
"Atlanta, GA",2017-06-30,1133.6333479940986
"Atlanta, GA",2017-07-31,1140.8600746354357
"Atlanta, GA",2017-08-31,1146.3904241374
"Atlanta, GA",2017-09-30,1153.0941628108053
"Atlanta, GA",2017-10-31,1155.1864344072542
"Atlanta, GA",2017-11-30,1161.2146438749248
"Atlanta, GA",2017-12-31,1165.3555662850404
"Atlanta, GA",2018-01-31,1172.9791454785163
"Atlanta, GA",2018-02-28,1178.6907819211012
"Atlanta, GA",2018-03-31,1184.8594910451775
"Atlanta, GA",2018-04-30,1191.2306860113238
"Atlanta, GA",2018-05-31,1197.2814095998212
"Atlanta, GA",2018-06-30,1202.80423342762
"Atlanta, GA",2018-07-31,1208.1582456876026
"Atlanta, GA",2018-08-31,1212.86940448471
"Atlanta, GA",2018-09-30,1217.2313984012098
"Atlanta, GA",2018-10-31,1227.8834326511394
"Atlanta, GA",2018-11-30,1237.4818342229694
"Atlanta, GA",2018-12-31,1246.4418633061064
"Atlanta, GA",2019-01-31,1251.35728470618
"Atlanta, GA",2019-02-28,1256.139784323242
"Atlanta, GA",2019-03-31,1261.3015935894998
"Atlanta, GA",2019-04-30,1266.87930611532
"Atlanta, GA",2019-05-31,1272.4100990607712
"Atlanta, GA",2019-06-30,1278.646246512492
"Atlanta, GA",2019-07-31,1283.9973315947925
"Atlanta, GA",2019-08-31,1290.7179306308103
"Atlanta, GA",2019-09-30,1297.134894124272
"Atlanta, GA",2019-10-31,1300.6247505373374
"Atlanta, GA",2019-11-30,1302.9972728834432
"Atlanta, GA",2019-12-31,1306.62623316939
"Atlanta, GA",2020-01-31,1311.3219897301158
"Atlanta, GA",2020-02-29,1316.5581434957942
